ISBN	题名/责任者	出版项	索书号	馆藏位置	
978-7-5594-0863-1	"超级领悟力: 成为精英的必备素质 / (美) 马克·让-毕曼, 约翰·库尼欧斯著; 赵婷, 韩少伟译"	"南京: 江苏凤凰文艺出版社, 2017"	B841.5/7	第一书库（综合图书馆）	
978-7-5596-0176-6	不用背的记忆术 / (日) 桦泽紫苑著; 陈静译	"北京: 北京联合出版公司, 2017"	B842.3/46	第一书库（综合图书馆）	
978-7-5108-5535-1	"全神贯注的方法: 怎样让自己在日常工作中全神贯注, 达到“忘我”的状态? / (美) 托马斯·M.斯特纳著; 周丽萍译"	"北京: 九州出版社, 2017"	B842.3/47	第一书库（综合图书馆）	
978-7-5044-9810-6	过目不忘的记忆法== Memory method / 尔东编著 eng	"北京: 中国商业出版社, 2017"	B842.3/48	第一书库（综合图书馆）	
978-7-5086-7502-2	与爱因斯坦月球漫步: 三步唤醒你的惊人记忆力 / (美) 乔舒亚·福尔著; 王旭译 eng	"北京: 中信出版社, 2017"	B842.3/49	第一书库（综合图书馆）	
978-7-5113-6568-2	图解超级记忆术 / 斗南主编	"北京: 中国华侨出版社, 2017"	B842.3/50	第一书库（综合图书馆）	
978-7-111-57600-6	"三重专注力: 如何提升互联网一代最稀缺的能力 / (美) 丹尼尔·戈尔曼, 彼得·圣吉著== The triple focus: a new approach to education / Daniel Goleman, Peter Senge; 倪韵岚译 eng"	"北京: 机械工业出版社, 2017"	B842.3/51	第一书库（综合图书馆）	
978-7-5594-0728-3	"专注== The distracted mind: 把事情做到极致的艺术 / (美) 亚当·格萨雷, 拉里·罗森著; 李闻甲, 尹晓虹译 eng"	"南京: 江苏凤凰文艺出版社, 2017"	B842.3/52	第一书库（综合图书馆）	
978-7-5682-3853-3	"冲破消极的自我== Your self sabotage survival guide: 重塑强大的内心力量, 活出不受限的生命奇迹 / (美) 凯伦·伯格著; 江琼芳, 江淑仙译 eng"	"北京: 北京理工大学出版社, 2017"	B842.6/139	第一书库（综合图书馆）	
978-7-111-57956-4	"应对焦虑== Coping with anxiety: 九种消除焦虑、恐惧和忧虑的简单方法 / (美) 埃德蒙·伯恩, 洛娜·加拉诺著; 张轶蓓译 eng"	"北京: 机械工业出版社, 2017"	B842.6/140	第一书库（综合图书馆）	
978-7-115-43406-7	驾驭情绪: 通向快乐的途径 / (德) 维尔纳·蒂基·屈斯滕马赫著== Limbi: der weg zum Glück führt durchs Gehirn / Werner Tiki Kustenmacher; 王海涛译 ger	"北京: 人民邮电出版社, 2017"	B842.6/141	第一书库（综合图书馆）	
978-7-122-29498-2	"棉花糖的诱惑: 我们为何失控, 又如何自控 / (德) 尤阿希姆·鲍尔著; 王荣辉译"	"北京: 化学工业出版社, 2017"	B842.6/142	第一书库（综合图书馆）	
978-7-5596-0871-0	高敏感是种天赋 / (丹麦) 伊尔斯·桑德著; 李红霞译	"北京: 北京联合出版公司, 2017"	B842.6/143	第一书库（综合图书馆）	
978-7-115-46545-0	疗愈失亲之痛== Healing after loss: 治愈哀伤的365天冥想练习 / (美) 玛莎·惠特莫尔·希克曼著; 艾琦译 eng	"北京: 人民邮电出版社, 2017"	B842.6/144	第一书库（综合图书馆）	
978-7-5086-7616-6	自我关怀的力量 / (美) 克里斯廷·内夫著; 刘聪慧译	"北京: 中信出版社, 2017"	B842.6/145	第一书库（综合图书馆）	
978-7-5596-0708-9	"别让坏情绪, 赶走好运气: 超图解心情调节术 / (日) 和田秀树著; 蔡晓智译"	"北京: 北京联合出版公司, 2017"	B842.6/266	第一书库（综合图书馆）	
978-7-5142-1866-4	情绪勒索== Stop overreacting / (美) 朱迪斯·P. 西格尔著; 李菲译 eng	"北京: 文化发展出版社, 2017"	B842.6/267	第一书库（综合图书馆）	
